Station;Sample;Filter;Photo;Type;Colour;Colour2;Colour3;Colour4;Colour Type;Length;Width;Area;Perimeter;Perimeter-2;Comments
St 901-A;St 901-A;1;7;Fibre;Purple;;;;;873.05;10.54;NA;NA;NA;NA
St 901-A;St 901-A;1;8;Fibre;Brown;;;;;1886.4;9.94;NA;NA;NA;NA
St 901-A;St 901-A;1;9;Paint/fragment;Blue/grey;;;;;192.53;83.54;12579;488.04;NA;NA
St 901-A;St 901-A;1;10;Paint;Blue;;;;;49.02;20.57;1775;149.00;NA;NA
St 901-A;St 901-A;1;3;Fibre;Transparent/purple;;;;;1185;12.67;NA;NA;NA;NA
St 901-B;St 901-B;2;1;Fibre;Light green;;;;;2738.97;313.21;867007.01;6111.10;NA;Rope from the boat?
St 901-B;St 901-B;2;2;Fibre;Brown/black;;;;;3007;14.36;NA;NA;NA;NA
St 901-C;St 901-C;3;-0;Fibre;Black;;;;;1085.82;21.56;NA;NA;NA;NA
St 901-C;St 901-C;3;-0;Fibre;Black;;;;;5332.5;21.56;NA;NA;NA;NA
St 901-C;St 901-C;3;1;Fibre;Black;;;;;1784.05;14.49;NA;NA;NA;NA
St 901-C;St 901-C;3;2;Fibre;Black;;;;;1197.24;3.12;NA;NA;NA;NA
St 901-C;St 901-C;3;2;Fibre;Light green;;;;;240;66.97;NA;NA;NA;Rope from the boat?
St 901-C;St 901-C;3;2;Fibre;Light green;;;;;163.49;85.65;NA;NA;NA;Rope from the boat?
St 901-C;St 901-C;3;3;Fragment;Blue;;;;;88.22;34.83;1111.37;238.80;NA;NA
St 901-C;St 901-C;3;4;Fibre;Purple;;;;;354.82;3.12;NA;NA;NA;NA
St 901-C;St 901-C;3;5;Paint;Blue;;;;;178.72;343.84;35497.35;965.54;NA;Paint from boat
St 901-C;St 901-C;3;6;Fibre;Blue;;;;;462.47;9;NA;NA;NA;NA
St 901-C;St 901-C;3;7;Fragment;Blue;;;;;252.49;81.05;13058.68;605.92;NA;Piece of bottle
St 901-C;St 901-C;3;8;Fibre;Blue;;;;;513.74;22.96;NA;NA;NA;NA
St 901-C;St 901-C;3;9;Fibre;Blue;;;;;414.51;38.96;NA;NA;NA;NA
St 901-C;St 901-C;3;10;Fibre;Blue;;;;;1312.4;17.84;NA;NA;NA;NA
St 902-A;St 902-A;4;-0;Fibre;Purple;;;;;451.29;11.3;NA;NA;NA;NA
St 902-A;St 902-A;4;1;Fibre;Light green;;;;;3915.47;43.02;NA;NA;NA;Rope from boat
St 902-B;St 902-B;5;-0;Fibre;Black/purple;;;;;372.78;6.35;NA;NA;NA;NA
St 902-B;St 902-B;5;1;Fibre;White;;;;;1439.19;113.68;NA;NA;NA;NA
St 902-C;St 902-C;6;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing found
St 903-A;St 903-A;7;-0;Fragment;Transparent/blue;;;;;608.48;191.43;104489.44;657.30;NA;Piece of buffer bottle?
St 903-A;St 903-A;7;1;Fragment;Transparent/blue;;;;;868.33;189.09;135662.17;842.30;NA;Piece of buffer bottle?
St 903-A;St 903-A;7;2;Fragment;Transparent/blue;;;;;1110.83;207.62;243155.38;645.26;NA;Piece of buffer bottle?
St 903-B;St 903-B;8;-0;Fibre;Transparent;;;;;1661.13;5.71;NA;NA;NA;NA
St 903-B;St 903-B;8;1;Fibre;Blue;;;;;2158.25;20.6;NA;NA;NA;NA
St 903-B;St 903-B;8;2;Fibre;Light purple;;;;;1087.49;12.83;NA;NA;NA;NA
St 903-B;St 903-B;8;3;Fibre;Brown;;;;;673.35;11.43;NA;NA;NA;NA
St 903-C;St 903-C;9;-0;Fibre;Brown;;;;;887.05;8.15;NA;NA;NA;NA
St 903-C;St 903-C;9;1;Fibre;Brown;;;;;574.15;10.39;NA;NA;NA;NA
St 904-A;St 904-A;10;-0;Fibre;Transparent/blue;;;;;942.1;9.27;NA;NA;NA;NA
St 904-B;St 904-B;11;-0;Fibre;Transparent/blue;;;;;1781;12.08;NA;NA;NA;NA
St 904-B;St 904-B;11;2;Fibre;Blue;;;;;433.41;19.1;NA;NA;NA;NA
St 904-B;St 904-B;11;4;Fibre;Blue;;;;;1889.24;16.27;NA;NA;NA;NA
St 904-B;St 904-B;11;5;Fibre;Transparent/blue;;;;;890.95;12.18;NA;NA;NA;NA
St 904-B;St 904-B;11;6;Fibre;Transparent/blue;;;;;2846.56;9.67;NA;NA;NA;NA
St 904-C;St 904-C;12;-0;Fibre;Brown/black;;;;;385.18;14.88;NA;NA;NA;NA
St 904-C;St 904-C;12;1;Fibre;Purple;;;;;1182.18;5.26;NA;NA;NA;NA
St 904-C;St 904-C;12;2;Fibre;Brown;;;;;774.53;13.76;NA;NA;NA;NA
St 905-A;St 905-A;13;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 905-B;St 905-B;14;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 905-C;St 905-C;15;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 906-A;St 906-A;16;-0;Fibre;Purple;;;;;258.94;20.38;NA;NA;NA;NA
St 906-A;St 906-A;16;1;Fibre;Purple;;;;;397.93;10.55;NA;NA;NA;NA
St 906-A;St 906-A;16;2;Fibre;Purple;;;;;256.01;7.04;NA;NA;NA;Same as St906-A 01
St 906-A;St 906-A;16;3;Fibre;Purple/transparent;;;;;1020.68;12.18;NA;NA;NA;NA
St 906-A;St 906-A;16;4;Fibre;Purple;;;;;429.08;10.1;NA;NA;NA;NA
St 906-A;St 906-A;16;5;Fibre;Light blue;;;;;516.33;12.12;NA;NA;NA;NA
St 906-A;St 906-A;16;6;Fibre;Light green;;;;;396.95;31.49;NA;NA;NA;Rope from boat?
St 906-A;St 906-A;16;7;Fibre;Purple;;;;;406.76;31.1;NA;NA;NA;NA
St 906-B;St 906-B;17;-0;Fragment;Light green;;;;;179.49;115.59;199.79;179.47;NA;Piece of rope?
St 906-B;St 906-B;17;1;Fibre;Black;;;;;809.4;7.14;NA;NA;NA;NA
St 906-C;St 906-C;18;-0;Fibre;Black;;;;;2224.38;11.71;NA;NA;NA;NA
St 906-C;St 906-C;18;1;Fibre;Black;;;;;1001.28;5.28;NA;NA;NA;NA
St 906-C;St 906-C;18;2;Fibre;Black;;;;;328.62;25.87;NA;NA;NA;NA
St 906-C;St 906-C;18;3;Fibre;Black/purple;;;;;432.68;4.68;NA;NA;NA;NA
St 906-C;St 906-C;18;4;Fibre;Transparent/blue;;;;;690.81;9.37;NA;NA;NA;NA
St 907-A;St 907-A;19;-0;Fibre;Light green;;;;;1540.15;54.47;NA;NA;NA;Rope from the boat?
St 907-A;St 907-A;19;-0;Fibre;Light green;;;;;1071.07;68.42;NA;NA;NA;Rope from the boat?
