"","Station","Sample","Filter","Photo","Type","Type2","Colour","Colour2","Colour3","Colour4","Col.Type","Length","Width","Area","Perimeter","Perimeter.2","Possible.contamination","Comments","SizeClass"
"1","901","A",1,9,"Paint",,"blue","grey",,,"blend",192.53,83.54,12579,"488.04",,"paint from boat?",,"medium"
"2","901","A",1,10,"Paint",,"blue",,,,,49.02,20.57,1775,"149",,"paint from boat?",,"small"
"3","901","A",1,8,"Fibre",,"brown",,,,,1886.4,9.94,,,,,,"large"
"4","901","A",1,7,"Fibre",,"purple",,,,,873.05,10.54,,,,,,"large"
"5","901","A",1,3,"Fibre",,"transparent",,,,,1185,12.67,,,,,,"large"
"6","901","B",2,2,"Fibre",,"brown",,,,,3007,14.36,,,,,,"large"
"7","901","B",2,1,"Fibre",,"green",,,,"light",2738.97,313.21,867007.01,"6111.1",,"Piece of rope?",,"large"
"8","901","C",3,0,"Fibre",,"black",,,,,1085.82,21.56,,,,,,"large"
"9","901","C",3,0,"Fibre",,"black",,,,,5332.5,21.56,,,,,,"large"
"10","901","C",3,1,"Fibre",,"black",,,,,1784.05,14.49,,,,,,"large"
"11","901","C",3,2,"Fibre",,"black",,,,,1197.24,3.12,,,,,,"large"
"12","901","C",3,6,"Fibre",,"blue",,,,,462.47,9,,,,,,"large"
"13","901","C",3,8,"Fibre",,"blue",,,,,513.74,22.96,,,,,,"large"
"14","901","C",3,9,"Fibre",,"blue",,,,,414.51,38.96,,,,,,"large"
"15","901","C",3,10,"Fibre",,"blue",,,,,1312.4,17.84,,,,,,"large"
"16","901","C",3,7,"Fragment",,"blue",,,,,252.49,81.05,13058.68,"605.92",,"Piece of buffer bottle?",,"medium"
"17","901","C",3,3,"Paint",,"blue",,,,,88.22,34.83,1111.37,"238.8",,"paint from boat?",,"small"
"18","901","C",3,5,"Paint",,"blue",,,,,178.72,343.84,35497.35,"965.54",,"paint from boat?",,"medium"
"19","901","C",3,2,"Fibre",,"green",,,,"light",240,66.97,,,,"Piece of rope?",,"medium"
"20","901","C",3,2,"Fibre",,"green",,,,"light",163.49,85.65,,,,"Piece of rope?",,"medium"
"21","901","C",3,4,"Fibre",,"purple",,,,,354.82,3.12,,,,,,"large"
"22","902","A",4,1,"Fibre",,"green",,,,"light",3915.47,43.02,,,,"Piece of rope?",,"large"
"23","902","A",4,0,"Fibre",,"purple",,,,,451.29,11.3,,,,,,"large"
"24","902","B",5,0,"Fibre",,"black",,,,,372.78,6.35,,,,,,"large"
"25","902","B",5,1,"Fibre",,"white",,,,,1439.19,113.68,,,,,,"large"
"26","902","C",6,,,,,,,,,,,,,,,"Nothing found",
"27","903","A",7,0,"Fragment",,"transparent","blue",,,"spotted",608.48,191.43,104489.44,"657.3",,"Piece of buffer bottle?",,"large"
"28","903","A",7,1,"Fragment",,"transparent","blue",,,"spotted",868.33,189.09,135662.17,"842.3",,"Piece of buffer bottle?",,"large"
"29","903","A",7,2,"Fragment",,"transparent","blue",,,"spotted",1110.83,207.62,243155.38,"645.26",,"Piece of buffer bottle?",,"large"
"30","903","B",8,1,"Fibre",,"blue",,,,,2158.25,20.6,,,,,,"large"
"31","903","B",8,3,"Fibre",,"brown",,,,,673.35,11.43,,,,,,"large"
"32","903","B",8,2,"Fibre",,"purple",,,,"light",1087.49,12.83,,,,,,"large"
"33","903","B",8,0,"Fibre",,"transparent",,,,,1661.13,5.71,,,,,,"large"
"34","903","C",9,0,"Fibre",,"brown",,,,,887.05,8.15,,,,,,"large"
"35","903","C",9,1,"Fibre",,"brown",,,,,574.15,10.39,,,,,,"large"
"36","904","A",10,0,"Fibre",,"transparent","blue",,,"sectioned",942.1,9.27,,,,,"often observed","large"
"37","904","B",11,2,"Fibre",,"blue",,,,,433.41,19.1,,,,,"often observed","large"
"38","904","B",11,0,"Fibre",,"transparent","blue",,,"sectioned",1781,12.08,,,,,"often observed","large"
"39","904","B",11,4,"Fibre",,"transparent","blue",,,"sectioned",1889.24,16.27,,,,,"often observed","large"
"40","904","B",11,5,"Fibre",,"transparent","blue",,,"sectioned",890.95,12.18,,,,,"often observed","large"
